Year,Country,Name of Invention,Name of Inventor,Category,General_Category
1863,United States,Yale cylinder lock,Linus Yale,Security Device,Engineering & Technology
1864,France,pasteurization process,Louis Pasteur,Biotechnology,Life Sciences & Medicine
1864,Germany,gasolinepowered automobile,Siegfried Marcus,Vehicle,Engineering & Technology
1865,United States,Pullman sleeping car,George M Pullman,Railway Carriage,Engineering & Technology
1865,France; Germany,SiemensMartin process,Carl Wilhelm Siemens; PierreÉmile Martin,Metallurgical Engineering,Chemistry & Materials
1865,United Kingdom,silkcombing machine,Samuel Cunliffe Lister,Textile Machinery,Engineering & Technology
1866,United Kingdom,modern clinical thermometer,Thomas Clifford Allbutt,Medical Instrument,Life Sciences & Medicine
1866,Czech,Laws of Inheritance,Gregor Mendel,Genetics,Life Sciences & Medicine
1866,France,drycell battery,Georges Leclanch,Energy Storage Device,Engineering & Technology
1867,Sweden,Dynamite; dynamite,Alfred B Nobel; Alfred Nobel,Chemical Engineering; Explosive Technology,Chemistry & Materials
1867,United States,pneumatic tube,Alfred Ely Beach,Transport System,Engineering & Technology
1867,United States,barbed wire,Joseph Farwell Glidden; Lucien B Smith,Agricultural Fencing; Agricultural Technology,Agricultural Sciences & Technology
1868,France,Helium,Jules Janssen,Chemical Discovery,Chemistry & Materials
1868,United States,typewriter,Christopher Latham Sholes,Office Equipment,Engineering & Technology
1869,United Kingdom; United States,Vacuum Cleaner; vacuum cleaner,David T Kenney; H Cecil Booth; Hubert Cecil Booth; Ives McGuffey,Home Appliance; Home Appliances,Engineering & Technology
1869,Russia,Mendeleev’s Periodic Table of Elements,Dmitri Mendeleev,Chemistry,Chemistry & Materials
1869,United States,air brake,George Westinghouse,Transportation Safety Device,Engineering & Technology
1869,Russia,Periodic Table,Dmitri Mendeleev,Scientific Model,Physical Sciences
1869,France,trichrome process of colour photography,Louis Ducos du Hauron,Photographic Process,Arts & Media
1871,United States,flatbottomed paper bag,Margaret Knight,Packaging,Engineering & Technology
1871,United Kingdom,bicycle with centrepivot steering,James Starley,Vehicle Innovation,Engineering & Technology
1872,Germany,polyvinyl chloride PVC,Eugen Baumann,Chemistry,Chemistry & Materials
1872,United Kingdom,stainless steel,JET Woods; J Clark; Harry Brearley,Metallurgical Engineering,Chemistry & Materials
1873,Germany; United States,Jeans,Levi Strauss,Clothing,Engineering & Technology
1873,United Kingdom,rotary kiln,Frederick Ransome,Industrial Engineering,Engineering & Technology
1873,Belgium,Gramme machine,Zénobe Gramme,Electrical Engineering,Engineering & Technology
1873,United Kingdom,Black holes,John Michell,Astronomical Theory,Physical Sciences
1873,United Kingdom,Crookes radiometer,William Crookes,Physics,Physical Sciences
1874,France,metal detector,Gustave Trouvé,Electronic Engineering,Engineering & Technology
1874,Canada; United Kingdom; United States,Telephone; The Telephone; telephone,Alexander Graham Bell; Graham Bell,Communication Device; Communication Technology; Communications,Information & Computing
1875,Russia,electric tram,Fyodor Pirotsky,Transportation Engineering,Engineering & Technology
1876,Canada; United Kingdom; United States,Microphone,Alexander Graham Bell,Audio Device,Arts & Media
1876,United States,carpet sweeper,Melville Reuben Bissell,Cleaning Device,Engineering & Technology
1876,Russia,Yablochkov candle arc lamp,Pavel Nikolayevich Yablochkov,Lighting Device,Engineering & Technology
1876,Germany,fourstroke cycle,Nicolaus August Otto,Mechanical Engineering,Engineering & Technology
1876,Germany,fourstroke internalcombustion engine,Nikolaus August Otto,Engine,Engineering & Technology
1877,United States,universal grinding machine,Joseph Rogers Brown,Machine Tool,Engineering & Technology
1877,United States,phonograph cylinder sound recorder,Thomas Edison,Audio Recording Device,Arts & Media
1877,United States,Phonograph; phonograph,Thomas Edison,Audio Playback Device; Audio Technology,Arts & Media
1878,United States,Pelton wheel,Lester Allan Pelton,Mechanical Engineering,Engineering & Technology
1878,United States,Electric Light Bulb,Thomas Edison,Lighting Device,Engineering & Technology
1878,United States,Gramophone,Thomas Edison,Audio Playback Device,Arts & Media
1878,United Kingdom,rebreather,Henry Fleuss,Diving Technology,Engineering & Technology
1879,United Kingdom; United States,incandescent light bulb; incandescent lightbulb,Joseph Swan; Thomas Alva Edison; Thomas Edison,Electrical Engineering; Lighting Device,Engineering & Technology
1880,Serbia; United States,alternatingcurrent electric motor,Nikola Tesla,Electric Motor,Engineering & Technology
1880,United Kingdom,life raft,Maria Beasley,Marine Safety Equipment,Engineering & Technology
1881,Bulgaria,carbon arc welding,Nikolay Benardos,Welding Technology,Engineering & Technology
1882,United States,Iron electric,Henry W Seeley,Household Appliance,Engineering & Technology
1882,United States,Electric Fan,Schuyler Wheeler,Home Appliance,Engineering & Technology
1884,France,rayon,Hilaire Bernigaud de Chardonnet,Textile Fiber,Chemistry & Materials
1884,Hungary,closed core transformer and AC parallel power distribution,Károly Zipernowsky; Ottó Bláthy; Miksa Déri,Electrical Engineering,Engineering & Technology
1884,Ireland,modern steam turbine,Sir Charles Parsons,Mechanical Engineering,Engineering & Technology
1884,United States,Maxim gun,Hiram Maxim,Weapon Technology,Engineering & Technology
1884,United Kingdom,multistage steam turbine,Charles Algernon Parsons,Turbine,Engineering & Technology
1884,France,Poudre B,Paul Vieille,Chemistry,Chemistry & Materials
1884,United Kingdom; United States,Maxim machine gun,Hiram Maxim,Firearm Technology,Engineering & Technology
1884,Germany; United States,Linotype typesetting machine,Ottmar Mergenthaler,Printing Machinery,Engineering & Technology
1885,Germany,practical automobile with an internalcombustion engine,Karl Benz,Vehicle,Engineering & Technology
1885,Germany,highspeed internalcombustion engine,Gottlieb Daimler,Engine,Engineering & Technology
1885,Germany,Motorcycle,Gottlieb Daimler,Vehicle,Engineering & Technology
1885,Germany,Petrol for Motor Car,Karl Benz,Fuel,Engineering & Technology
1885,United Kingdom,modern safety bicycle,John Kemp Starley,Transportation Engineering,Engineering & Technology
1886,United States,graphophone cylinder sound recorder,Charles Sumner Tainter,Audio Recording Device,Arts & Media
1886,United States,Dishwasher,Josephine G Cochran,Home Appliance,Engineering & Technology
1886,United States,Yellow Pages,Reuben H Donnelly,Communication Technology,Information & Computing
1886,Germany,zinc–carbon battery,Carl Gassner,Electrochemistry,Chemistry & Materials
1886,France; United States,Hall–Héroult process,Charles Martin Hall; Paul Héroult,Metallurgical Engineering,Chemistry & Materials
1886,Germany,Automobile; automobile,Karl Benz,Mechanical Engineering; Vehicle,Engineering & Technology
1886,United States,electrolytic aluminum smelting,Charles M Hall  PaulLouisT Hroult,Metallurgy,Chemistry & Materials
1886,France,Fluorine,Ferdinand FH Moissan,Chemical Element,Chemistry & Materials
1886,United States,mechanical dishwasher,Josephine Cochrane,Home Appliance,Engineering & Technology
1886,United States,CocaCola,Dr John Pemberton,Food Technology,Agricultural Sciences & Technology
1887,Germany,Bayer process,Carl Josef Bayer,Chemical Engineering,Chemistry & Materials
1887,United Kingdom,wind turbine,James Blyth,Electrical Engineering,Engineering & Technology
1887,Australia,gold cyanidation process,John Stewart MacArthur; Robert Forrest; William Forrest,Mining Engineering,Engineering & Technology
1887,Germany; United States,Gramophone disc sound recorder,Emil Berliner,Audio Playback Device,Arts & Media
1887,United Kingdom,pneumatic rubber tire,John Boyd Dunlop,Vehicle,Engineering & Technology
1888,United States,Film,George Eastman,Film Technology,Arts & Media
1888,United States,Ball Point Pen; ballpoint pen,John J Loud; John Loud,Mechanical Engineering; Office Equipment,Engineering & Technology
1888,United States,Kinetoscope,Thomas Edison; William Kennedy Dickson,Film Technology,Arts & Media
1888,Germany,electromagnetic wave demonstration,Heinrich Hertz,Physics,Physical Sciences
1888,United Kingdom,Bicycle Tyres,John Boyd Dunlop,Vehicle,Engineering & Technology
1888,United States,Kodak camera,George Eastman,Photography,Arts & Media
1888,United Kingdom,Pneumatic Tyre; pneumatic tire,John Boyd Dunlop; John Dunlop,Mechanical Engineering; Vehicle,Engineering & Technology
1888,United States,Camera,George Eastman,Photography,Arts & Media
1889,United Kingdom,Cine Camera,Wm FrieseGreene,Film Technology,Arts & Media
1889,United States,cylindrical grain silo,Franklin Hiram King,Agricultural Engineering,Agricultural Sciences & Technology
1890,Germany,zeppelin airship,Ferdinand von Zeppelin,Aviation Technology,Engineering & Technology
1890,United States,tabulating machine,Herman Hollerith,Computing,Information & Computing
1890,France,chlorofluorocarbons as refrigerant,Frédéric Swarts,Chemistry,Chemistry & Materials
1890,United States,precut cardboard box,Robert Gair,Industrial Design,Engineering & Technology
1891,Canada; United States,basketball,James A Naismith,Sports Equipment,Engineering & Technology
1891,United States,zipper,Whitcomb Judson,Garment Technology,Engineering & Technology
1892,United Kingdom,vacuum flask,James Dewar,Thermodynamics,Physical Sciences
1892,United States,carburizing surface hardening of steel plate,Hayward A Harvey,Metallurgical Process,Chemistry & Materials
1892,United States,adding machine,William Seward Burroughs,Office Equipment,Engineering & Technology
1892,France,cinematograph,Léon Bouly,Film Technology,Arts & Media
1892,Canada,electric oven,Thomas Ahearn,Home Appliances,Engineering & Technology
1892,Germany,Diesel Engine; diesel engine,Rudolf Diesel,Engine; Mechanical Engineering,Engineering & Technology
1893,United States,rubber glove,William Stewart Halsted,Medicine,Life Sciences & Medicine
1893,United States,Carborundum,Edward Goodrich Acheson,Materials Technology,Chemistry & Materials
1893,United States,Ferris Wheel,GWG Ferris Jr,Recreational Technology,Arts & Media
1893,United States,Zip Fastener,Whitcomb Judson,Garment Technology,Engineering & Technology
1894,Germany,Lilienthal standard glider,Otto Lilienthal,Aviation Technology,Engineering & Technology
1894,France,Cinmatographe motionpicture camera and projector,Lumire brothers,Film Technology,Arts & Media
1894,Italy,Radio,Guglielmo Marconi,Communication Device,Information & Computing
1894,United Kingdom,Ship Turbine,Charles Parsons,Marine Technology,Engineering & Technology
1895,United States,disposable razor,King Camp Gillette,Personal Grooming,Engineering & Technology
1895,Germany,radiograph Xray,Wilhelm Conrad Röntgen,Physics,Physical Sciences
1895,Italy,wireless communication system,Guglielmo Marconi,Communication Technology,Information & Computing
1895,Germany,Xray,Wilhelm Conrad Rntgen,Medical Imaging,Life Sciences & Medicine
1896,Italy,wireless telegraph,Guglielmo Marconi,Communication Device,Information & Computing
1896,France; Poland,Radioactivity,Marie Curie,Nuclear Physics,Physical Sciences
1896,United States,Electric stovecooker,William S Hadaway,Home Appliance,Engineering & Technology
1897,Netherlands,Vitamin B,Christiaan Eijkman,Biochemistry,Chemistry & Materials
1897,United Kingdom,Electron; The Electron,JJ Thomson,Nuclear Physics; Physics,Physical Sciences
1897,France; Poland,surgical mask,Jan MikuliczRadecki; Paul Berger,Medicine,Life Sciences & Medicine
1898,Germany,polyethylene,Hans von Pechmann,Chemistry,Chemistry & Materials
1898,Ireland; United States,gasolineelectric submarine,John Philip Holland,Marine Technology,Engineering & Technology
1898,France; Poland,Radium,Marie  Pierre Curie,Chemical Element,Chemistry & Materials
1899,Germany,Aspirin,Dr Felix Hoffman,Pharmaceuticals,Life Sciences & Medicine
1899,Sweden,NiCd NiFe AgCd batteries,Waldemar Jungner,Electrochemistry,Chemistry & Materials
1900,Canada; United States,amplitude modulation AM of radio waves,Reginald Aubrey Fessenden,Telecommunications,Information & Computing
1900,Denmark,telegraphone magnetic wire recorder,Valdemar Poulsen,Audio Recording Device,Arts & Media
1900,United Kingdom; United States,Animation,J Stuart Blackton,Film Technology,Arts & Media
1900,Germany,Quantum theory proposed,Planck,Physics,Physical Sciences
1900,Austria; Denmark; Germany,Quantum Mechanics; Quantum mechanics,Albert Einstein; Erwin Schrödinger; Max Planck; Niels Bohr; Werner Heisenberg,Physics; Theoretical Physics,Physical Sciences
1900,Germany,Zeppelin,Theodor Kober,Aerospace Engineering,Engineering & Technology
1901,Austria; United States,Discovery of human blood groups,Landsteiner,Medicine,Life Sciences & Medicine
1902,United States,airconditioning,Willis Haviland Carrier,Refrigeration Technology,Engineering & Technology
1902,United States,Air Conditioner,Willis Carrier,Refrigeration Technology,Engineering & Technology
1903,United States,Airplane,Wilbur and Orville Wright,Aviation Technology,Engineering & Technology
1903,United States,powered sustained and controlled airplane flight,Wilbur and Orville Wright,Aviation Technology,Engineering & Technology
1903,United States,windshield wiper,Mary Anderson,Automotive Technology,Engineering & Technology
1903,United States,First Successful Airplane,Orville Wright; Wilbur Wright,Aviation,Engineering & Technology
1903,France,laminated glass,Édouard Bénédictus,Materials Science,Chemistry & Materials
1903,United States,powered airplane,Orville Wright; Wilbur Wright,Aerospace Engineering,Engineering & Technology
1903,Norway,gas turbine,Ægidius Elling,Mechanical Engineering,Engineering & Technology
1904,United Kingdom,Fleming valve,John Ambrose Fleming,Electronic Engineering,Engineering & Technology
1904,United Kingdom,vacuum diode rectifier,John Ambrose Fleming,Electronics,Other
1904,United Kingdom,Valve; Radio,Sir JA Fleming,Electronics,Other
1905,Germany; Switzerland; United States,The theory of relativity,Albert Einstein,Theoretical Physics,Physical Sciences
1905,Germany,Waveparticle duality of light,Einstein,Physics,Physical Sciences
1905,Germany,Special Relativity,Albert Einstein,Physics,Physical Sciences
1905,Germany,Special theory of relativity,Einstein,Physics,Physical Sciences
1906,United States,Audion vacuum tube amplifier,Lee De Forest,Electronics,Other
1906,Norway; United States,marine outboard motor,Ole Evinrude,Marine Technology,Engineering & Technology
1906,United Kingdom,Existence of vitamins proposed,Hopkins,Biochemistry,Chemistry & Materials
1906,United Kingdom,Evidence that Earth has a core,Oldham,Geophysics,Physical Sciences
1907,France,tuyères thermopropulsives statoreacteur  ramjet,Maurice Roy; R Lorin,Aerospace Engineering,Engineering & Technology
1907,Belgium; United States,Bakelite; bakelite,Leo Baekeland; Leo Hendrik Baekeland,Chemistry; Materials Technology,Chemistry & Materials
1907,France,rotarywing aircraft free flight,Paul Cornu,Aerospace Engineering,Engineering & Technology
1908,Germany,coffee filters,Melitta Bentz,Food Technology,Agricultural Sciences & Technology
1908,Switzerland,cellophane,Jacques E Brandenberger,Materials Science,Chemistry & Materials
1908,United States,Tea Bag,Thomas Sullivan,Food Technology,Agricultural Sciences & Technology
1908,Germany,Geiger counter,Hans Geiger,Measurement Instrument,Physical Sciences
1908,Germany,Synthesis of ammonia from its elements,Haber,Chemistry,Chemistry & Materials
1909,United States,Discovery of Burgess Shale ancient invertebrate fossils,Walcott,Paleontology,Physical Sciences
1909,United Kingdom,Idea of genetic disease introduced,Garrod,Medicine,Life Sciences & Medicine
1909,France,television broadcast,Georges Rignoux; A Fournier,Electronic Engineering,Engineering & Technology
1909,Germany,Haber process,Fritz Haber,Chemical Engineering,Chemistry & Materials
1909,Croatia,Boundary between Earths crust and mantle identified,Mohorovicic,Geology,Earth & Environmental Sciences
1910,United States,First mapping of a gene to a chromosome,Morgan and others,Genetics,Life Sciences & Medicine
1910,Germany,arsphenamine antisyphilis drug,Paul Ehrlich,Pharmaceuticals,Life Sciences & Medicine
1911,Netherlands,Superconductivity,Heike Kamerlingh Onnes,Physics,Physical Sciences
1911,Netherlands,Superconductivity discovered,Onnes,Physics,Physical Sciences
1911,New Zealand,Discovery of the atomic nucleus,Rutherford,Physics,Physical Sciences
1911,United States,Lewis machine gun,Isaac Newton Lewis,Firearms Technology,Engineering & Technology
1911,New Zealand,Atomic Nucleus,Ernst Rutherford,Physics,Physical Sciences
1911,United Kingdom,cloud chamber,Charles Thomson Rees Wilson,Physics,Physical Sciences
1911,United States,gyroscopic compass,Elmer Ambrose Sperry,Navigation Technology,Other
1912,Austria,Discovery of cosmic rays,Hess,Physics,Physical Sciences
1912,Germany,Idea of continental drift presented,Wegener,Geology,Earth & Environmental Sciences
1912,Canada; Germany; United States,Plate Tectonics; Plate tectonics,Alfred Wegener; Harry Hess; J Tuzo Wilson; Robert S Dietz,Geology,Earth & Environmental Sciences
1912,United States,automobile electrical starter,Charles F Kettering,Automotive Technology,Engineering & Technology
1912,United States,articulated trams,Boston Elevated Railway,Transportation Engineering,Engineering & Technology
1912,United States,model electric racing cars slot cars,Lionel,Toys,Arts & Media
1912,United Kingdom,Vitamin A,Frederick Gowland Hopkins,Biochemistry,Chemistry & Materials
1912,Germany,Continental Drift,Alfred Wegener,Geology,Earth & Environmental Sciences
1913,Denmark,Bohr Model of the Atom,Niels Bohr,Physics,Physical Sciences
1913,United States,automobile assembly line,Henry Ford,Industrial Engineering,Engineering & Technology
1913,Austria,Kaplan turbine,Viktor Kaplan,Hydraulic Engineering,Engineering & Technology
1913,Germany,Bergius process,Friedrich Bergius,Chemical Engineering,Chemistry & Materials
1914,Germany; United Kingdom,First steps in elucidating chemical transmission of nerve impulses neurotransmitters,Dale; Barger; Loewi,Neuroscience,Life Sciences & Medicine
1914,Serbia,Astronomical theory of climate change,Milankovitch,Climatology,Earth & Environmental Sciences
1915,Germany,General theory of relativity,Einstein,Physics,Physical Sciences
1915,United Kingdom,Martensitic stainless steel process,Harry Brearley,Metallurgical Engineering,Chemistry & Materials
1915,France; United Kingdom,military tank,Walter Wilson; William Tritton; Eugène Brillié,Military Technology,Engineering & Technology
1915,Germany,General Relativity,Albert Einstein,Physics,Physical Sciences
1915,France,Neon Lamp,Georges Claude,Lighting Device,Engineering & Technology
1916,Poland,Czochralski process,Jan Czochralski,Materials Science,Chemistry & Materials
1916,United States,Colburn flatglass machine,Irving Wightman Colburn,Industrial Machinery,Engineering & Technology
1916,United States,Xray tube,William D Coolidge,Medical Imaging,Life Sciences & Medicine
1917,New Zealand; United Kingdom,The Proton,Ernest Rutherford,Nuclear Physics,Physical Sciences
1917,United States,crystal oscillator,Alexander M Nicholson,Electronic Engineering,Engineering & Technology
1918,United States,Browning automatic rifle,John Moses Browning,Firearms Technology,Engineering & Technology
1918,United Kingdom; United States,Synthesis of genetics with the theory of evolution by natural selection neodarwinism,Fisher; Haldane; Wright,Evolutionary Biology,Life Sciences & Medicine
1921,Canada,Isolation of insulin,Banting  Best,Medicine,Life Sciences & Medicine
1922,United States,Vitamin E,Herbert McLean Evans  Katherine Scott Bishop,Biochemistry,Chemistry & Materials
1922,United States,Radar,Dr Albert H Taylor  Leo C Young,Electronics,Other
1923,United States,Nature of galaxies discovered,Hubble,Astronomy,Physical Sciences
1923,United States,Adhesive tape,Richard G Drew,Materials Technology,Chemistry & Materials
1923,Russia; United States,Iconoscope and Kinescope electronic television camera and receiver,Vladimir Kosma Zworykin,Electronic Engineering,Engineering & Technology
1923,Poland; United States,QTips,Leo Gerstenzang,Medical Equipment,Life Sciences & Medicine
1923,Canada,Insulin,Sir Frederick Banting,Biotechnology,Life Sciences & Medicine
1924,United Kingdom,electromechanical television,John Logie Baird,Electronic Engineering,Engineering & Technology
1924,France,Greenhouse Effect,Joseph Fourier,Climate Science,Earth & Environmental Sciences
1924,United States,rapidfrozen food,Clarence Birdseye,Food Technology,Agricultural Sciences & Technology
1925,United States,Frozen Food,Clarence Birdseye,Food Technology,Agricultural Sciences & Technology
1925,Germany,Fischer–Tropsch process,Franz Fischer; Hans Tropsch,Chemical Engineering,Chemistry & Materials
1925,Austria; Germany,Matrix and wave formulations of quantum mechanics,Heisenberg; Schrödinger,Physics,Physical Sciences
1925,Australia,Description of Australopithecus africanus,Dart,Anthropology,Social Sciences & Humanities
1926,United States,liquidfueled rocket engine,Robert Hutchings Goddard,Aerospace Engineering,Engineering & Technology
1926,United Kingdom,live television system,John Logie Baird,Electronic Engineering,Engineering & Technology
1926,Ireland,Threepoint hitch system,Harry Ferguson,Agricultural Engineering,Agricultural Sciences & Technology
1926,United States,liquid fueled rocket,Robert H Goddard,Aerospace Engineering,Engineering & Technology
1926,Japan,YagiUda Antenna,Shintaro Uda; Hidetsugu Yagi,Electrical Engineering,Engineering & Technology
1926,United States,Rocket Engine,Robert H Goddard,Aerospace Engineering,Engineering & Technology
1927,Belgium,The Big Bang theory,Georges Lematre,Cosmology,Physical Sciences
1927,United States,Matter is proved to be wavelike,Davisson  Germer,Physics,Physical Sciences
1927,Belgium,The Big Bang,Georges Lemaître,Cosmology,Physical Sciences
1927,United States,Television,Philo Farnsworth,Electronic Engineering,Engineering & Technology
1927,United States,Image Dissector electronic television camera,Philo Taylor Farnsworth,Electronic Engineering,Engineering & Technology
1927,Hungary,Vitamin C,Albert SzentGyrgyi,Biochemistry,Chemistry & Materials
1927,United States,quartz clock,Warren Marrison; JW Horton,Electronic Engineering,Engineering & Technology
1928,United Kingdom,Discovery of penicillin,Fleming,Medicine,Life Sciences & Medicine
1928,United States,Xerox Machine,Chester Carlson,Office Equipment,Engineering & Technology
1928,Australia; United Kingdom,Penicillin; penicillin,Alexander Fleming; Ernst Chain; Howard Florey; Norman Heatley,Medicine; Pharmaceuticals,Life Sciences & Medicine
1928,United Kingdom,turbojet engine,Frank Whittle,Aerospace Engineering,Engineering & Technology
1928,United States,electronic television,Philo Farnsworth,Electronic Engineering,Engineering & Technology
1928,United States,Electric Shaver,Jacob Schick,Home Appliance,Engineering & Technology
1929,United States,ball screw,Rudolph G Boehm,Mechanical Engineering,Engineering & Technology
1929,United States,Expansion of the Universe established,Hubble,Astronomy,Physical Sciences
1929,United States,Van de Graaff generator for particle accelerators,Robert Jemison Van de Graaff,Physics,Physical Sciences
1929,Japan,First suggestion that Earths magnetic field reverses,Matuyama,Geophysics,Physical Sciences
1929,Denmark,Vitamin K,Henrik Dam,Biochemistry,Chemistry & Materials
1930,United Kingdom,First absolute geological timescale,Holmes,Geology,Earth & Environmental Sciences
1930,Austria; Netherlands,Establishment of the scientific study of animal behavior,von Frisch; Lorenz; Tinbergen,Ethology,Social Sciences & Humanities
1930,United Kingdom,supersonic combusting ramjet,Frank Whittle,Aerospace Engineering,Engineering & Technology
1930,Netherlands,phasecontrast microscopy,Frits Zernike,Optics,Physical Sciences
1930,United States,Theory of chemical bonds developed,Pauling,Chemistry,Chemistry & Materials
1931,Germany,First electron microscope; electron microscope,Ernst Ruska; Ruska,Physics; Scientific Imaging,Physical Sciences
1931,United States,Birth of radioastronomy,Jansky,Astronomy,Physical Sciences
1931,Russia; United Kingdom,highdefinition electronic television system,Isaac Shoenberg,Electronic Engineering,Engineering & Technology
1932,United Kingdom; United States,Discovery of the Neutron; Discovery of the neutrino; Discovery of the neutron,Chadwick; Cowan  Reines; James Chadwick,Physics,Physical Sciences
1932,United States,Discovery of the positron first antimatter particle,Anderson,Physics,Physical Sciences
1932,United Kingdom,The Neutron,James Chadwick,Nuclear Physics,Physical Sciences
1933,United States,portable folding wheelchair,Harry C Jennings Sr; Herbert Everest,Medical Equipment,Life Sciences & Medicine
1933,United States,FM radio,Edwin H Armstrong,Electronic Engineering,Engineering & Technology
1933,Switzerland,Dark Matter,Fritz Zwicky,Astrophysics,Physical Sciences
1933,United States,frequency modulation FM of radio waves,Edwin H Armstrong,Telecommunications,Information & Computing
1934,United States,cyclotron particle accelerator,Ernest Orlando Lawrence,Physics,Physical Sciences
1934,United States,Hammond organ electronic keyboard,Laurens Hammond,Musical Instrument,Arts & Media
1935,United States,nylon,Wallace Carothers; Wallace Hume Carothers,Chemical Engineering; Polymer Material,Chemistry & Materials
